-Song Name-||-Artist/Singer-||-Album-||-Music/Composer-||-Year-||-Youtube Link-

Gym De Shokeen||Bhallwaan ( Bharat Sharma )||Gym De Shokeen||Big Kay SMG||2021||https://www.youtube.com/watch?v=WGH3c9nVmik
Hanuman Chalisa||Shankar Mahadevan, Ajay||Hanuman Chalisa||Ajay-Atul||2018||https://www.youtube.com/watch?v=jTNu-R9KA-4
Malhar wari||Shahir Sable And Ajay Jogavle||Aga Bai Areccha||Ajay-Atul||2004||https://www.youtube.com/watch?v=4J4Vu6uLVkI
Durge Durgat Bhari||Ajay Jogavle||Aga Bai Areccha||Ajay-Atul||2004||https://www.youtube.com/watch?v=8H0HEZDvYVw
Man Udhan Varyache||Shankar Mahadevan||Aga Bai Areccha||Ajay-Atul||2004||https://www.youtube.com/watch?v=2JZTIVd4XN0
Ghamand Kar||Sachet Tandon & Parampara Thakur||Tanhaji The Unsung Warrior||Sachet - Parampara||2020||https://www.youtube.com/watch?v=E-gmnQuV6_Y
Shoorveer||Rapperiya Baalam Ft. Jagirdar RV||Shoorveer||Rapperiya Baalam||2021||https://www.youtube.com/watch?v=mvA2chApB6g
Shoorveer 2||Rapperiya Baalam Ft. Jagirdar RV||Shoorveer 2||Rapperiya Baalam||2021||https://www.youtube.com/watch?v=LPCGMW19pAs
Shoorveer 3||Rapperiya Baalam, Shambho Rap, Meetu Solanki||Shoorveer 3||Rapperiya Baalam||2022||https://www.youtube.com/watch?v=DXCd7Moy3to
Jai Shri Ram||Bucks Boy||Jai Shri Ram||Bucks Boy||2021||https://www.youtube.com/watch?v=T2mfWhK8QnU
Shiva Tandava Stotram||Uma Mohan||Divine Chants Of Shiva||Shubh Ashish Records||2012||https://www.youtube.com/watch?v=hMBKmQEPNzI
Atma Rama||Agam Aggarwal, Siddharth Sharma||Atma Rama||Agam Aggarwal||2022||https://www.youtube.com/watch?v=dAG5iwdnzIU
Titanium||David Guetta ft. Sia||Titanium||David Guetta||2011||https://www.youtube.com/watch?v=KxnpFKZowcs
Fearless||Lost Sky||Fearless||Lost Sky||2017||https://www.youtube.com/watch?v=v8JbaHScYzU
Remember The Name||Fort Minor ft. Styles of Beyond||Remember The Name||Fort Minor||2010||https://www.youtube.com/watch?v=VDvr08sCPOc
Best of Me||NEFFEX||Best of Me||NEFFEX||2017||https://www.youtube.com/watch?v=0Wa_CR0H8g4
Fight Back||NEFFEX||Fight Back||NEFFEX||2017||https://www.youtube.com/watch?v=CYDP_8UTAus
Unstoppable||Sia||Unstoppable||Sia||2021||https://www.youtube.com/watch?v=YaEG2aWJnZ8
Till I Collapse||Eminem ft. Nate Dogg||Till I Collapse||Eminem||2018||https://www.youtube.com/watch?v=Obim8BYGnOE
Not Afraid||Eminem||Not Afraid||Eminem||2010||https://www.youtube.com/watch?v=j5-yKhDd64s
Believer||Imagine Dragons||Believer||Imagine Dragons||2017||https://www.youtube.com/watch?v=7wtfhZwyrcc
Thunder||Imagine Dragons||Thunder||Imagine Dragons||2017||https://www.youtube.com/watch?v=fKopy74weus
Turn down for what||DJ Snake, Lil Jon||Turn down for what||DJ Snake||2014||https://www.youtube.com/watch?v=HMUDVMiITOU
