-Song Name-||-Artist/Singer-||-Album-||-Music/Composer-||-Year-||-Youtube Link-

Kiston||Sachin-Jigar & Jubin Nautiyal||Roohi||Sachin Sanghvi & Jigar Saraiya||2021||https://youtu.be/UaWe1REc81w
Drunk n High||Mellow D & Aastha Gill||VYRLOriginals||Akull & Mellow D||2021||https://youtu.be/ZHKQgmpabD8
Kamli||Jubin Nautiyal, Divya Kumar & Sachin- Jigar||Hum Do Hamare Do||Sachin - Jigar||2021||https://youtu.be/EE-OWW-T2Pc
Lehra Do||Arijit Singh||83||Pritam||2021||https://youtu.be/LNaA6e94dSY
Mera Yaar||Dhvani Bhanushali & Ash King||Mera Yaar - Single||Dhvani Bhanushali & Shloke Lal||2021||https://youtu.be/dPLjo1PXD7s
Jug Jug Jeeve||Sachet Tandon, Parampara Thakur & Sachin-Jigar||Shiddat||Sachin-Jigar||2021||https://youtu.be/H3a-eT7Vge0
Chitta||Manan Bhardwaj||Shiddat||Manan Bhardwaj||2021||https://www.youtube.com/watch?v=CJq1hGSO89A
Tenu Lehenga||Tanishk Bagchi, Zahrah S Khan & Jass Manak||Satyameva Jayate 2||Tanishk Bagchi & Jass Manak||2021||https://www.youtube.com/watch?v=YWSQkXAInuE
Garda||A.R. Rahman, Daler Mehndi & Irshad Kamil||Atrangi Re||A.R. Rahman||2021||https://www.youtube.com/watch?v=5WNy0XWcHSk
Rait Zara Si||A.R. Rahman, Arijit Singh, Shashaa Tirupati & Irshad Kamil||Atrangi Re||A.R. Rahman||2021||https://www.youtube.com/watch?v=7kuZkiZgbPY
Soch Liya||Mithoon & Arijit Singh||Soch Liya||Mithoon||2021||https://www.youtube.com/watch?v=0FIBJdJtVkk
Tere Siva Jag Mein||Pritam, Shilpa Rao, Darshan Raval, Shashwat Singh & Charan||Tadap||Pritam||2021||https://www.youtube.com/watch?v=NB08FBUqw3Q
Leke Pehla Pehla Pyaar||Jassie Gill & Simar Kaur||Kya Meri Sonam Gupta Bewafa Hai?||O. P. Nayyar, Avvy Sra, Majrooh Sultanpuri & Happy Raikoti||2021||https://www.youtube.com/watch?v=1PPNwTD76Bs
Mehendi||Dhvani Bhanushali & Vishal Dadlani||Mehendi||Priya Saraiya||2021||https://www.youtube.com/watch?v=a1rF9AGaWfA
Bad Boy X Bad Girl (feat. Nikhita Gandhi)||Badshah||Bad Boy X Bad Girl (feat. Nikhita Gandhi)||Badshah||2021||https://www.youtube.com/watch?v=Bj70HkXmCf4
Do Ghoont||Shruti Rane||Do Ghoont||Anand Bakshi||2021||https://www.youtube.com/watch?v=4x60TLSdp98
Ishq Mein||Sachet Tandon||Ishq Mein||Meet Bros & Nikhil Vinay||2021||https://www.youtube.com/watch?v=ZQrXWVa48MI
Shiddat Title Track||Manan Bhardwaj||Shiddat||Manan Bhardwaj||2021||https://www.youtube.com/watch?v=tFEcQUWLip0
Bansuri||Sachin-Jigar, Asees Kaur, IP Singh & Dev Negi||Hum Do Hamare Do||Sachin-Jigar||2021||https://www.youtube.com/watch?v=i28eOLuJuPY
Barbaadiyan||Sachet Tandon, Nikhita Gandhi, Madhubanti Bagchi & Sachin-Jigar||Shiddat||Sachin-Jigar||2021||https://www.youtube.com/watch?v=W1-tEmTN6OU
Dance Meri Rani (Feat. Nora Fatehi)||Tanishk Bagchi, Guru Randhawa & Zahrah S Khan||Dance Meri Rani||Tanishk Bagchi||2021||https://www.youtube.com/watch?v=rg5fmAYmW3o
Maiyya Mainu||Sachet-Parampara & Sachet Tandon||Jersey||Sachet-Parampara||2021||https://www.youtube.com/watch?v=LTHCTp8FTBA
Aila Re Aillaa||Pritam, Tanishk Bagchi & Daler Mehndi||Sooryavanshi||Pritam & Tanishk Bagchi||2021||https://www.youtube.com/watch?v=h7XWh3fEQZs
Dil Ko Karaar Aaya||Yasser Desai, Neha Kakkar & Rajat Nagpal||Sukoon||Rajat Nagpal & Rana Sotal||2021||https://www.youtube.com/watch?v=Jm9tuXUawxk
Zaalima Coca Cola||Tanishk Bagchi & Shreya Ghoshal||Zaalima Coca Cola||Tanishk Bagchi & Tafo||2021||https://www.youtube.com/watch?v=SzvnAI9GG-g
Kusu Kusu feat. Nora Fatehi]||Tanishk Bagchi, Zahrah S Khan & Dev Negi||Satyameva Jayate 2||Tanishk Bagchi||2021||https://www.youtube.com/watch?v=eBeHfVSnG00
Bachpan Ka Pyaar||Badshah, Aastha Gill, Sahdev Dirdo & Rico||Dandiya Dhamaal||Badshah & Mayur Nadia||2021||https://www.youtube.com/watch?v=k7QniTYNsmQ
Najaa||Tanishk Bagchi, Pav Dharia & Nikhita Gandhi||Sooryavanshi||Tanishk Bagchi & Pav Dharia||2021||https://www.youtube.com/watch?v=1KP24yC3KN8
Ghana Kasoota (feat. Surbhi Jyoti)||Raftaar & Rashmeet Kaur||Ghana Kasoota||Raftaar||2021||https://www.youtube.com/watch?v=qrXXWHDXW4s
Grind (Dhundke Dikha EP) [Music By Flamboy]||Emiway Bantai||Grind||Flamboy||2021||https://www.youtube.com/watch?v=O4YEtMj1B50
Baawla||Badshah & Uchana Amit||Baawla||Badshah||2021||https://www.youtube.com/watch?v=eI2gINbvVsw
Jugnu (feat. Nikhita Gandhi)||Badshah||Jugnu||Badshah||2021||https://www.youtube.com/watch?v=ksY3wb4vtlA
Tip Tip||Tanishk Bagchi, Udit Narayan, Alka Yagnik & Viju Shah||Sooryavanshi||Tanishk Bagchi & Viju Shah||2021||https://www.youtube.com/watch?v=l9u8Zb4fY1c
Rabba Mehar Kari||Darshan Raval||Rabba Mehar Kari||Darshan Raval & Youngveer||2021||https://www.youtube.com/watch?v=eTSQ73TQkQk
Sakhiyan2.0||Maninder Buttar, Zara Khan & Tanishk Bagchi||Bellbottom||Maninder Buttar, Tanishk Bagchi & Babbu||2021||https://www.youtube.com/watch?v=YAdWnKNeilg
