-Song Name-||-Artist/Singer-||-Album-||-Music/Composer-||-Year-||-Youtube Link-

Shades Of Love Mashup||Multiple Singers||Amtee||Amtee||2022||https://www.youtube.com/watch?v=M6lqFnGJwpE
Ranjha x Waalian (ACV Mashup)||Multiple Singers||ACV||ACV||2022||https://www.youtube.com/watch?v=S50SkXhWjEQ
Love Is Forever Mashup||Multiple Singers||Jay Guldekar||Jay Guldekar||2022||https://www.youtube.com/watch?v=omSgZSwjYrw
Soulful Love Mashup||Multiple Singers||Amtee||Amtee||2022||https://www.youtube.com/watch?v=95OBXWkYPOU
Broken But Beautiful Mashup||Multiple Singers||Amtee||Amtee||2021||https://www.youtube.com/watch?v=UiIwuTERMtA
Feel The Love Mashup||Multiple Singers||Jay Guldekar||Jay Guldekar||2021||https://www.youtube.com/watch?v=-2w5-k900ME
Shershaah x Kabir Singh Mashup||Multiple Singers||SICKVED||SICKVED||2021||https://www.youtube.com/watch?v=Lnz3oyIZpd4
Road Trip Mashup 2||Multiple Singers||Parth Dodiya||Parth Dodiya||2022||https://www.youtube.com/watch?v=asBJ7rh0g9k
Best of Darshan Raval Mashup 2022||Multiple Singers||Amtee||Amtee||2022||https://www.youtube.com/watch?v=KK6YBGkZNI4
Broken Love Mashup||Multiple Singers||Amtee||Amtee||2022||https://www.youtube.com/watch?v=X7WK5mTE75k
Ye Kya Hua||Shreya Ghoshal, Dev Negi||Broken But Beautiful||Rana Mazumder||2019||https://www.youtube.com/watch?v=2iWvtolY2PI
Teri Hogaiyaan||Vishal Mishra||Broken But Beautiful 2||Vishal Mishra||2019||https://www.youtube.com/watch?v=asIpemC_RKo
Mere Liye||Akhil Sachdeva||Broken But Beautiful 3||Akhil Sachdeva||2022||https://www.youtube.com/watch?v=8WTHkb2HlCQ
Kya Kiya Hain Tune||Armaan Malik & Palak Muchhal||Broken But Beautiful 3||Armaan Malik||2021||https://www.youtube.com/watch?v=e0dr27apZ-4
Pyaar Tune Kya Kiya||Jubin Nautiyal||Pyaar Tune Kya Kiya||Amjad Nadeem||2015||https://www.youtube.com/watch?v=gC84vJf0xeU
Aziyat||Pratyush Dhiman||Aziyat||Pratyush Dhiman||2020||https://www.youtube.com/watch?v=5k58kWEuwJQ
Kali Kali Zulfon Ke||Madhur Sharma||Kali Kali Zulfon Ke||Swapnil Tare||2021||https://www.youtube.com/watch?v=o-7b6ctrQX0
